species_en,species_scientific,species_de
Silky-tailed Nightjar,Antrostomus sericocaudatus,Seidennachtschwalbe
Eastern Whip-poor-will,Antrostomus vociferus,Schwarzkehl-Nachtschwalbe
Firewood-gatherer,Anumbius annumbi,Weißkehl-Bündelnister
Chestnut-headed Crake,Anurolimnas castaneiceps,Rotmaskenralle
Black-banded Crake,Anurolimnas fasciatus,Streifenbauchralle
Russet-crowned Crake,Anurolimnas viridis,Amazonienralle
Brown-headed Apalis,Apalis alticola,Braunkopf-Feinsänger
Chapin's Apalis,Apalis chapini,Chapinfeinsänger
Gray Apalis,Apalis cinerea,Graurücken-Feinsänger
Yellow-breasted Apalis,Apalis flavida,Gelbbrust-Feinsänger
Black-throated Apalis,Apalis jacksoni,Schwarzkehl-Feinsänger
Black-headed Apalis,Apalis melanocephala,Schwarzkopf-Feinsänger
Black-faced Apalis,Apalis personata,Kivufeinsänger
Chestnut-throated Apalis,Apalis porphyrolaema,Bergfeinsänger
Rudd's Apalis,Apalis ruddi,Flechtenfeinsänger
Buff-throated Apalis,Apalis rufogularis,Weißbauch-Feinsänger
Sharpe's Apalis,Apalis sharpii,Kurzschwanz-Feinsänger
Bar-throated Apalis,Apalis thoracica,Halsband-Feinsänger
Narina Trogon,Apaloderma narina,Narinatrogon
Bar-tailed Trogon,Apaloderma vittatum,Bergtrogon
Black-billed Flycatcher,Aphanotriccus audax,Schwarzschnabel-Schnäppertyrann
Tawny-chested Flycatcher,Aphanotriccus capitalis,Ockerbrust-Schnäppertyrann
Southern Whiteface,Aphelocephala leucopsis,Fahlrücken-Weißstirnchen
California Scrub-Jay,Aphelocoma californica,Kalifornienhäher
Florida Scrub-Jay,Aphelocoma coerulescens,Floridahäher
Transvolcanic Jay,Aphelocoma ultramarina,Ultramarinhäher
Unicolored Jay,Aphelocoma unicolor,Einfarbhäher
Mexican Jay,Aphelocoma wollweberi,Mexikohäher
Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,Woodhousehäher
Thorn-tailed Rayadito,Aphrastura spinicauda,Stachelschwanzschlüpfer
Honey Bee,Apis mellifera,Honey Bee
Samoan Starling,Aplonis atrifusca,Samoastar
Brown-winged Starling,Aplonis grandis,Kragenstar
Metallic Starling,Aplonis metallica,Weberstar
Moluccan Starling,Aplonis mysolensis,Molukkenstar
Micronesian Starling,Aplonis opaca,Karolinenstar
Asian Glossy Starling,Aplonis panayensis,Malaienstar
Polynesian Starling,Aplonis tabuensis,Südseestar
Red-winged Parrot,Aprosmictus erythropterus,Rotflügelsittich
King Penguin,Aptenodytes patagonicus,Königspinguin
North Island Brown Kiwi,Apteryx mantelli,Nordstreifenkiwi
Little Swift,Apus affinis,Haussegler
Common Swift,Apus apus,Mauersegler
White-rumped Swift,Apus caffer,Weißbürzelsegler
Alpine Swift,Apus melba,Alpensegler
House Swift,Apus nipalensis,Malaiensegler
Pacific Swift,Apus pacificus,Pazifiksegler
Pallid Swift,Apus pallidus,Fahlsegler
Plain Swift,Apus unicolor,Einfarbsegler
Spanish Eagle,Aquila adalberti,Iberienadler
Golden Eagle,Aquila chrysaetos,Steinadler
Imperial Eagle,Aquila heliaca,Kaiseradler
Steppe Eagle,Aquila nipalensis,Steppenadler
